"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72793024233","2020-02-01T00:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.91","50","53","0.06","RA:02 BR:1 |RA |RA","+0.03","5","89","29.93","FEW:02 12 SCT:04 23 OVC:08 38","29.44","3.00","51","200","33","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET15602/01/20 00:53:02 METAR KSEA 010853Z 20021G29KT 3SM RA BR FEW012 SCT023 OVC038 12/10 A2991 RMK AO2 PK WND 23034/0840 SLP135 P0004 60011 T01170100 55010 (MR)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793024233","2020-02-01T01:00:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.91","50","53","0.02","RA:02 BR:1 |RA |RA",,,"89",,"FEW:02 9 SCT:04 13 OVC:08 36","29.44","3.00","51","210","31","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13702/01/20 01:00:02 SPECI KSEA 010900Z 21017G27KT 3SM RA BR FEW009 SCT013 OVC036 12/10 A2991 RMK AO2 PK WND 21027/0855 P0002 T01170100 (MR)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793024233","2020-02-01T01:03:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.92","50","53","0.03","RA:02 BR:1 |RA |RA",,,"89",,"SCT:04 7 BKN:07 13 OVC:08 36","29.45","4.00","51","210","31","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13702/01/20 01:03:02 SPECI KSEA 010903Z 21018G27KT 4SM RA BR SCT007 BKN013 OVC036 12/10 A2992 RMK AO2 PK WND 21027/0855 P0003 T01170100 (MR)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793024233","2020-02-01T01:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.90","50","52","0.20","RA:02 BR:1 |RA |RA",,,"93","29.92","FEW:02 7 BKN:07 10 OVC:08 34","29.44","4.00","51","200","30","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET14402/01/20 01:53:02 METAR KSEA 010953Z 20020G26KT 4SM RA BR FEW007 BKN010 OVC034 11/10 A2990 RMK AO2 PK WND 20030/0923 SLP132 P0020 T01110100 (MR)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793024233","2020-02-01T02:02:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.90","50","52","0.02","-RA:02 BR:1 |RA |RA",,,"93",,"FEW:02 9 SCT:04 21 OVC:08 39","29.44","5.00","51","210","31","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13802/01/20 02:02:02 SPECI KSEA 011002Z 21019G27KT 5SM -RA BR FEW009 SCT021 OVC039 11/10 A2990 RMK AO2 PK WND 21027/0957 P0002 T01110100 (MR)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793024233","2020-02-01T02:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.90","50","52","0.16","-RA:02 BR:1 |RA |RA",,,"93","29.91","FEW:02 13 SCT:04 24 OVC:08 43","29.44","5.00","51","200","28","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET14502/01/20 02:53:02 METAR KSEA 011053Z 20014G24KT 5SM -RA BR FEW013 SCT024 OVC043 11/10 A2990 RMK AO2 PK WND 20031/1009 SLP130 P0017 T01110100 (MR)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793024233","2020-02-01T02:56:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.90","50","52","0.01","RA:02 BR:1 |RA |RA",,,"93",,"FEW:02 7 OVC:08 43","29.44","5.00","51","210","28","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11202/01/20 02:56:02 SPECI KSEA 011056Z 21016G24KT 5SM RA BR FEW007 OVC043 11/10 A2990 RMK AO2 P0001 T01110100 (MR)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793024233","2020-02-01T03:25:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.91","50","52","0.09","RA:02 BR:1 |RA |RA",,,"93",,"FEW:02 7 BKN:07 12 OVC:08 34","29.44","3.00","51","210","33","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13702/01/20 03:25:02 SPECI KSEA 011125Z 21019G29KT 3SM RA BR FEW007 BKN012 OVC034 11/10 A2991 RMK AO2 PK WND 21029/1122 P0009 T01110100 (MR)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793024233","2020-02-01T03:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.91","50","52","0.20","RA:02 BR:1 |RA |RA","+0.01","5","93","29.92","FEW:02 7 BKN:07 10 OVC:08 21","29.44","4.00","51","200","29","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET17602/01/20 03:53:02 METAR KSEA 011153Z 20017G25KT 4SM RA BR FEW007 BKN010 OVC021 11/10 A2991 RMK AO2 PK WND 21029/1122 SLP133 P0021 60069 70125 T01110100 10139 20111 55002 $ (MR)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793024233","2020-02-01T04:00:00","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50","52",,"||RA","+0.01","5","93","29.92","8","29.43","3.73","51","200",,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN11072793 11356 82017 10111 20100 39966 40133 55002 60181 763// 91153 333 10150 20111 70318 91025 96010 555 90112=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
